name,HR,HR.err,c,c.err,gmass,gmass.lowerr,gmass.uperr,lmass,lmass.lowerr,lmass.uperr,logsfr,logsfr.lowerr,logsfr.uperr,lssfr,lssfr.lowerr,lssfr.uperr,phmass,pyoung,x1,x1.err,zcmb,global_g,global_g.lowerr,global_g.uperr,global_i,global_i.lowerr,global_i.uperr,host_dec,host_ra,local_g,local_g.lowerr,local_g.uperr,local_i,local_i.lowerr,local_i.uperr,dec,ra
PTF10xyt,0.37,0.13,0.11,0.03,9.26,-0.1,0.1,8.74,-0.1,0.1,-1.84,-0.01,0.01,-10.6,-0.1,0.1,0.0,99.0,-0.11,0.2,0.0476,18.51,-0.01,0.01,17.75,-0.01,0.01,13.7906,349.7601,20.07,-0.02,0.02,19.21,-0.01,0.01,13.7906,349.7601
PTF10zdk,0.09,0.13,0.07,0.03,9.29,-0.1,0.1,8.38,-0.1,0.1,-2.09,-0.01,0.01,-10.5,-0.1,0.1,0.0,99.0,0.22,0.16,0.0317,16.07,-0.01,0.01,15.84,-0.01,0.01,23.6303,33.5307,18.48,-0.01,0.01,18.2,-0.01,0.01,23.6307,33.5306
PTF11bnx,0.18,0.12,0.07,0.03,9.5,-0.1,0.1,7.56,-0.12,0.12,-1.86,-0.01,0.01,-9.4,-0.1,0.1,0.0,100.0,-0.06,0.17,0.0553,17.3,-0.01,0.01,16.88,-0.02,0.02,21.0854,247.5823,21.73,-0.04,0.05,21.5,-0.08,0.08,21.0853,247.5805
PTF11cao,0.04,0.13,0.05,0.03,9.62,-0.1,0.1,7.85,-0.11,0.11,-2.69,-0.03,0.03,-10.6,-0.1,0.1,0.0,99.0,0.23,0.13,0.0402,16.99,-0.01,0.01,16.32,-0.01,0.01,25.1891,244.6986,21.24,-0.04,0.04,20.63,-0.05,0.05,25.1879,244.6998
PTF11mty,0.02,0.12,-0.06,0.03,9.81,-0.1,0.1,9.12,-0.1,0.1,-0.89,-0.01,0.01,-10.0,-0.1,0.1,3.0,100.0,0.83,0.15,0.0755,18.67,-0.01,0.01,17.73,-0.01,0.01,10.4235,323.5217,20.23,-0.01,0.01,19.35,-0.01,0.01,10.4235,323.5217
PTF11pbp,-0.11,0.14,0.02,0.03,10.83,-0.1,0.09,8.05,-0.11,0.11,-3.1,-0.03,0.03,-11.2,-0.1,0.1,100.0,0.0,0.09,0.13,0.0277,13.49,-0.01,0.01,12.69,-0.01,0.01,8.779,351.9863,20.64,-0.04,0.04,19.76,-0.03,0.04,8.7792,351.9812
PTF12dxm,-0.03,0.12,0.04,0.03,11.19,-0.1,0.1,7.85,-0.22,0.18,-3.95,-0.44,0.26,-11.8,-0.5,0.3,100.0,0.0,-2.21,0.18,0.0638,15.63,-0.01,0.01,14.4,-0.01,0.01,43.9126,208.3659,24.29,-0.33,0.47,22.66,-0.19,0.21,43.9135,208.3604
PTF12iiq,-0.0,0.14,-0.0,0.03,10.66,-0.1,0.1,8.74,-0.1,0.1,-4.13,-0.41,0.24,-12.9,-0.4,0.3,100.0,0.0,-1.42,0.1,0.0284,14.97,-0.01,0.01,13.81,-0.01,0.01,-0.267,42.5328,19.71,-0.02,0.02,18.57,-0.01,0.01,-0.2655,42.5323
SN2004ef,-0.1,0.18,0.05,0.03,10.98,-0.1,0.1,8.48,-0.1,0.1,-2.9,-0.02,0.02,-11.4,-0.1,0.1,100.0,0.0,-1.6,0.17,0.0296,14.16,-0.01,0.01,13.04,-0.01,0.01,19.9969,340.5439,20.22,-0.02,0.02,19.16,-0.02,0.02,19.9946,340.5417
SN2004gc,-0.22,0.13,0.05,0.03,10.2,-0.1,0.1,9.14,-0.1,0.1,-1.74,-0.01,0.01,-10.9,-0.1,0.1,97.0,29.0,-0.46,0.11,0.032,15.82,-0.01,0.01,14.86,-0.01,0.01,6.6768,80.4576,18.29,-0.01,0.01,17.4,-0.01,0.01,6.676,80.4581
