CID,CIDint,IDSURVEY,TYPE,FIELD,zHD,zHDERR,z,zERR,HOST_LOGMASS,HOST_LOGMASS_ERR,SNRMAX1,SNRMAX2,SNRMAX3,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITCHI2,FITPROB,RA,DECL,TGAPMAX,MU,MUERR,MUERR_NOSIGMB,MURES,MUPULL,sbar,cbar,ERRCODE,Unnamed: 41
7779,7779,1,120,82N+82S,0.37986,1e-05,0.3812,1e-05,11.174,0.153,10.5428,10.2582,9.6048,53675.84,0.652,1.4844,0.6665,-0.11048699999999999,0.0359,21.4805512627,0.049473199999999995,4.58952719557e-05,1.8272900000000002e-06,0.00749141,-6.697360000000001e-07,-2.0254400000000002e-08,87,85.7544,0.5176,-49.91983,-0.007232,-0.007232,,41.3581,0.1339,0.1339,-0.20199999999999999,-1.5090000000000001,2.106,-0.138,0
7847,7847,1,120,82N,0.2116,1e-05,0.21266,1e-05,10.696,0.124,18.6819,17.1959,12.2791,53682.02,0.14300000000000002,0.1311,0.3023,0.12,0.0264166,21.005179791,0.036775699999999995,7.11073344184e-05,2.62204e-06,0.00096146,-3.2524e-07,-4.10318e-08,36,32.7363,0.6692,32.459854,-0.061846000000000005,-0.061846000000000005,,39.9787,0.0823,0.0823,-0.126,-1.525,0.408,0.094,0
8495,8495,1,120,82S,0.21353000000000003,1e-05,0.21498,1e-05,11.034,0.063,21.2528,15.4739,12.1587,53689.918,0.342,0.7382,0.4585,-0.029557599999999996,0.041577699999999995,20.5414977648,0.0634772,0.00010899159170099999,6.55543e-06,0.00641677,-1.65946e-06,-1.89542e-07,23,40.7404,0.0177827,-24.738982999999998,-0.7482,-0.7482,,40.0637,0.1111,0.1111,-0.067,-0.603,0.882,-0.044000000000000004,0
8921,8921,1,120,82N+82S,0.14409,1e-05,0.14539000000000002,1e-05,10.216,0.058,30.1424,29.3313,18.3762,53693.008,0.191,0.8047,0.2509,-0.019927700000000003,0.0291366,19.6729525748,0.047605,0.000242554137574,1.0816199999999998e-05,0.0030173,-1.23979e-06,-2.38412e-07,35,38.6596,0.3504,-34.998077,-0.008034,-0.008034,,39.1746,0.0637,0.0637,-0.016,-0.253,0.826,-0.025,0
9032,9032,1,120,82N,0.25249,1e-05,0.254,1e-05,9.252,0.149,14.4128,11.6092,10.7946,53688.945,0.513,0.8336,0.6199,0.00945003,0.0515735,21.080270830499998,0.070752,6.63569953167e-05,4.50564e-06,0.00933869,-1.7015000000000001e-06,-1.39133e-07,23,11.4067,0.9858,-22.115479,-0.493654,-0.493654,,40.4949,0.1552,0.1552,-0.045,-0.292,0.935,0.0,0
9457,9457,1,120,82N,0.25672,1e-05,0.25823,1e-05,11.129,0.134,11.5937,8.466,7.9631,53688.848,0.541,-0.339546,0.6017,-0.027053700000000003,0.0618731,21.200932320699998,0.0817005,5.93778307061e-05,4.81349e-06,0.0113394,-1.6408599999999998e-06,-1.7867699999999998e-07,25,8.7629,0.9989,-24.18573,0.252944,0.252944,,40.5644,0.173,0.173,-0.017,-0.096,-0.313,-0.031,0
9467,9467,1,120,82N,0.21885,1e-05,0.22027,1e-05,10.93,0.072,16.1525,9.8885,7.8667,53688.816,0.35100000000000003,-1.38542,0.382,-0.14719200000000002,0.0565217,20.7421741307,0.0661107,9.060158000200001e-05,5.39861e-06,0.00567963,-1.08995e-06,-1.67313e-07,22,13.7851,0.9329,-31.048676,1.180713,1.180713,,40.3317,0.1551,0.1551,0.142,0.9129999999999999,-1.4780000000000002,-0.106,0
12779,12779,1,120,82N,0.07891000000000001,1e-05,0.07995,1e-05,10.776,0.083,67.851,51.696,36.1777,53971.895,0.9590000000000001,-0.609635,0.2645,0.09462899999999999,0.032929,18.9101021213,0.071314,0.000489721790872,3.3908e-05,-0.00343533,3.3720499999999998e-06,-9.18784e-07,28,22.2387,0.8102,-50.528228999999996,1.2210379999999998,1.2210379999999998,,37.8586,0.0755,0.0755,0.06,0.7959999999999999,-0.7440000000000001,0.113,0
12781,12781,1,120,82N,0.08282,1e-05,0.08408,1e-05,10.942,0.078,67.8524,51.6903,37.4223,53979.27,0.22,-1.8107799999999998,0.1854,0.040225199999999996,0.0269711,19.1280233156,0.0400953,0.000400686351406,1.51644e-05,0.0007499119999999999,-1.46126e-06,-2.8506499999999997e-07,39,42.9056,0.3074,5.406504,-1.010051,-1.010051,,38.077,0.0709,0.0709,0.163,2.299,-2.0180000000000002,0.085,0
12856,12856,1,120,82N,0.17028,1e-05,0.17167000000000002,1e-05,10.352,0.045,43.4178,36.1744,21.2575,53996.91,0.24,0.8607,0.2049,-0.08629400000000001,0.023843700000000002,19.8389843808,0.0374066,0.00020815718901700002,7.106080000000001e-06,0.000205425,-2.64777e-07,-1.1608599999999998e-07,51,40.4872,0.8543,-27.134583000000003,0.755887,0.755887,,39.5542,0.0641,0.0641,-0.033,-0.508,0.915,-0.096,0
